Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
562,504,24,126,10,275,27,20,0,0
563,504,24,126,10,275,27,20,0,0
564,505,24,126,10,276,27,20,0,0
565,505,24,126,10,276,27,20,0,0
566,505,24,126,10,276,27,20,0,0
567,505,24,126,10,276,27,20,0,0
568,505,24,126,10,276,27,20,0,0
569,505,24,126,10,276,27,20,0,0
570,505,24,125,10,276,27,20,0,0
571,505,24,125,10,276,27,19,0,0
572,505,24,125,10,276,27,19,0,0
573,505,24,125,10,276,27,19,0,0
574,505,24,125,10,276,27,19,0,0
575,505,24,125,10,276,27,19,0,0
576,505,24,125,10,276,27,19,0,0
577,505,24,125,10,276,27,19,0,0
578,505,24,125,10,276,27,19,0,0
579,505,24,125,10,276,27,19,0,0
580,505,24,125,10,276,27,19,0,0
581,505,24,125,10,276,27,19,0,0
582,505,24,125,10,276,27,19,0,0
583,505,24,125,10,276,27,19,0,0
584,505,24,125,10,276,27,19,0,0
585,505,24,125,10,276,27,19,0,0
586,505,24,125,10,276,27,19,0,0
587,505,24,125,10,276,27,19,0,0
588,507,24,125,10,276,27,20,0,0
589,506,24,125,10,276,27,20,0,0
590,506,24,125,10,277,27,20,0,0
591,506,24,125,10,277,27,20,0,0
592,506,24,125,10,277,27,20,0,0
593,507,24,126,10,278,27,20,0,0
594,507,24,126,10,278,27,20,0,0
595,507,24,126,10,278,27,20,0,0
596,508,24,126,10,278,27,20,0,0
597,508,24,126,10,278,27,20,0,0
598,508,24,127,10,278,27,20,0,0
599,508,24,127,10,278,27,20,0,0
600,508,24,127,10,278,27,20,0,0
601,508,24,127,10,279,27,20,0,0
602,508,24,127,10,279,27,20,0,0
603,510,24,127,10,279,27,20,0,0
604,511,24,127,10,280,27,20,0,0
605,511,24,127,10,280,27,20,0,0
606,511,24,127,10,280,27,20,0,0
607,511,24,126,10,280,27,20,0,0
608,511,24,126,10,280,27,20,0,0
609,511,24,126,10,280,27,20,0,0
610,511,24,126,10,280,27,21,0,0
611,534,24,130,11,294,29,24,0,0
612,532,24,130,11,293,29,23,0,0
613,532,24,130,11,293,29,23,0,0
614,532,24,130,11,293,29,23,0,0
615,528,24,130,11,291,29,23,0,0
616,527,24,130,11,292,29,23,0,0
617,527,24,130,11,291,29,23,0,0
618,525,24,130,10,290,29,23,0,0
619,525,24,130,10,290,29,23,0,0
620,525,24,130,10,290,29,23,0,0
621,526,24,131,10,290,29,22,0,0
622,526,24,131,10,290,29,22,0,0
623,526,24,132,10,290,29,22,0,0
624,527,24,132,10,290,29,22,0,0
625,527,24,132,10,290,29,22,0,0
626,527,24,132,10,290,29,22,0,0
627,591,29,138,10,328,30,24,0,0
628,591,29,138,10,328,30,24,0,0
629,591,29,139,10,328,30,24,0,0
630,592,29,140,10,328,30,24,0,0
631,591,29,140,10,328,30,24,0,0
632,592,29,140,10,328,31,24,0,0
633,592,29,140,10,328,31,24,0,0
634,593,29,140,10,328,31,23,0,0
635,593,29,140,10,328,31,23,0,0
636,591,29,139,10,326,30,23,0,0
637,591,29,139,10,326,30,23,0,0
638,591,29,139,10,327,30,23,0,0
639,588,29,137,10,325,29,23,0,0
640,589,29,137,10,325,29,23,0,0
641,589,29,137,10,325,29,23,0,0
642,584,29,137,10,325,29,23,0,0
643,584,29,137,10,325,29,23,0,0
644,584,29,137,10,325,29,23,0,0
645,585,29,137,10,326,29,23,0,0
646,585,29,137,10,326,29,23,0,0
647,585,29,137,10,326,29,23,0,0
648,585,29,138,10,327,29,23,0,0
649,585,29,138,10,326,29,23,0,0
650,585,29,138,10,326,29,23,0,0
651,586,29,138,10,327,29,23,0,0
652,586,29,138,10,328,29,23,0,0
653,586,29,138,10,328,29,23,0,0
654,588,29,138,10,330,29,23,0,0
655,589,29,138,10,330,29,24,0,0
656,589,29,140,10,331,29,24,0,0
657,589,29,140,10,331,29,24,0,0
658,589,29,140,10,331,29,24,0,0
659,589,29,140,10,331,29,24,0,0
