Commit id,date,file,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement,Effective commit
601b29a9d1f4e2019cfa00ec1ba9e8b1960db4fb,"03/02/2012, 11:40:16",file_ 3,0,0,0,0,0,0,0,0,0,10
601b29a9d1f4e2019cfa00ec1ba9e8b1960db4fb,"03/02/2012, 11:40:16",file_ 4,0,0,0,0,0,0,0,0,0,9
1302ded5f857f5f38ef8d460a8f58aab929f4fe0,"03/02/2012, 09:41:30",file_ 2,1,0,0,0,1,0,0,0,0,46
1302ded5f857f5f38ef8d460a8f58aab929f4fe0,"03/02/2012, 09:41:30",file_ 4,0,0,0,0,0,1,0,0,0,10
1302ded5f857f5f38ef8d460a8f58aab929f4fe0,"03/02/2012, 09:41:30",file_ 1,0,1,0,0,0,0,0,0,0,77
1302ded5f857f5f38ef8d460a8f58aab929f4fe0,"03/02/2012, 09:41:30",file_ 3,0,0,0,0,0,0,0,0,0,11
c002ae63371094b2cf9c731f779128e7a68e9970,"03/02/2012, 09:54:43",file_ 2,1,0,0,0,1,0,0,0,0,47
c002ae63371094b2cf9c731f779128e7a68e9970,"03/02/2012, 09:54:43",file_ 4,0,0,0,0,0,1,0,0,0,11
c002ae63371094b2cf9c731f779128e7a68e9970,"03/02/2012, 09:54:43",file_ 1,0,1,0,0,0,0,0,0,0,78
c002ae63371094b2cf9c731f779128e7a68e9970,"03/02/2012, 09:54:43",file_ 3,0,0,0,0,0,0,0,0,0,12
1d93cab0d01241ec04857a28e823522a5dd8ffeb,"03/02/2012, 10:23:27",file_ 2,1,0,0,0,1,0,0,0,0,48
1d93cab0d01241ec04857a28e823522a5dd8ffeb,"03/02/2012, 10:23:27",file_ 4,0,0,0,0,0,1,0,0,0,12
1d93cab0d01241ec04857a28e823522a5dd8ffeb,"03/02/2012, 10:23:27",file_ 1,0,1,0,0,0,0,0,0,0,79
1d93cab0d01241ec04857a28e823522a5dd8ffeb,"03/02/2012, 10:23:27",file_ 3,0,0,0,0,0,0,0,0,0,13
d43157b61f8e9f035403f3a220123f7fea007589,"03/02/2012, 10:27:37",file_ 2,1,0,0,0,1,0,0,0,0,49
d43157b61f8e9f035403f3a220123f7fea007589,"03/02/2012, 10:27:37",file_ 4,0,0,0,0,0,1,0,0,0,13
d43157b61f8e9f035403f3a220123f7fea007589,"03/02/2012, 10:27:37",file_ 1,0,1,0,0,0,0,0,0,0,80
d43157b61f8e9f035403f3a220123f7fea007589,"03/02/2012, 10:27:37",file_ 3,0,0,0,0,0,0,0,0,0,14
76eef23f54b9bad5329ef18aa992e2fa29fd668b,"03/02/2012, 17:12:43",file_ 2,1,0,0,0,1,0,0,0,0,50
76eef23f54b9bad5329ef18aa992e2fa29fd668b,"03/02/2012, 17:12:43",file_ 4,0,0,0,0,0,1,0,0,0,14
76eef23f54b9bad5329ef18aa992e2fa29fd668b,"03/02/2012, 17:12:43",file_ 1,0,1,0,0,0,0,0,0,0,81
76eef23f54b9bad5329ef18aa992e2fa29fd668b,"03/02/2012, 17:12:43",file_ 3,0,0,0,0,0,0,0,0,0,15
9bb69309f5abbc2e3b06a8224af045961db3b045,"03/02/2012, 22:54:29",file_ 2,1,0,0,0,1,0,0,0,0,51
9bb69309f5abbc2e3b06a8224af045961db3b045,"03/02/2012, 22:54:29",file_ 4,0,0,0,0,0,1,0,0,0,15
9bb69309f5abbc2e3b06a8224af045961db3b045,"03/02/2012, 22:54:29",file_ 1,0,1,0,0,0,0,0,0,0,82
9bb69309f5abbc2e3b06a8224af045961db3b045,"03/02/2012, 22:54:29",file_ 3,0,0,0,0,0,0,0,0,0,16
606b8ceadaba63812da0f6b8beec66f7644b099f,"03/03/2012, 14:48:45",file_ 2,1,0,0,0,1,0,0,0,0,52
606b8ceadaba63812da0f6b8beec66f7644b099f,"03/03/2012, 14:48:45",file_ 1,0,1,0,0,0,0,0,0,0,83
606b8ceadaba63812da0f6b8beec66f7644b099f,"03/03/2012, 14:48:45",file_ 3,0,0,0,0,0,0,0,0,0,17
606b8ceadaba63812da0f6b8beec66f7644b099f,"03/03/2012, 14:48:45",file_ 4,0,0,0,0,0,0,0,0,0,16
c433815fdf62ce33916eaf64f82465bd2657e67b,"03/03/2012, 14:51:18",file_ 2,1,0,0,0,1,0,0,0,0,53
c433815fdf62ce33916eaf64f82465bd2657e67b,"03/03/2012, 14:51:18",file_ 4,0,0,0,0,0,1,0,0,0,17
c433815fdf62ce33916eaf64f82465bd2657e67b,"03/03/2012, 14:51:18",file_ 1,0,1,0,0,0,0,0,0,0,84
c433815fdf62ce33916eaf64f82465bd2657e67b,"03/03/2012, 14:51:18",file_ 3,0,0,0,0,0,0,0,0,0,18
c4594afce132fdb38dbb8fb75ab76212fa329c67,"03/03/2012, 15:12:30",file_ 2,1,0,0,0,1,0,0,0,0,54
c4594afce132fdb38dbb8fb75ab76212fa329c67,"03/03/2012, 15:12:30",file_ 4,0,0,0,0,0,1,0,0,0,18
c4594afce132fdb38dbb8fb75ab76212fa329c67,"03/03/2012, 15:12:30",file_ 1,0,1,0,0,0,0,0,0,0,85
c4594afce132fdb38dbb8fb75ab76212fa329c67,"03/03/2012, 15:12:30",file_ 3,0,0,0,0,0,0,0,0,0,19
4e656f02fe0b4c9cd130c5b477cde0d301f2db18,"03/03/2012, 15:17:47",file_ 2,1,0,0,0,1,0,0,0,0,55
4e656f02fe0b4c9cd130c5b477cde0d301f2db18,"03/03/2012, 15:17:47",file_ 4,0,0,0,0,0,1,0,0,0,19
4e656f02fe0b4c9cd130c5b477cde0d301f2db18,"03/03/2012, 15:17:47",file_ 1,0,1,0,0,0,0,0,0,0,86
4e656f02fe0b4c9cd130c5b477cde0d301f2db18,"03/03/2012, 15:17:47",file_ 3,0,0,0,0,0,0,0,0,0,20
aeaebead18f08198b370717ae28726c065528fb1,"03/03/2012, 15:46:08",file_ 2,1,0,0,0,1,0,0,0,0,56
aeaebead18f08198b370717ae28726c065528fb1,"03/03/2012, 15:46:08",file_ 4,0,0,0,0,0,1,0,0,0,20
aeaebead18f08198b370717ae28726c065528fb1,"03/03/2012, 15:46:08",file_ 1,0,1,0,0,0,0,0,0,0,87
aeaebead18f08198b370717ae28726c065528fb1,"03/03/2012, 15:46:08",file_ 3,0,0,0,0,0,0,0,0,0,21
893f65fc02299276ca37ece7fe9cacf496930a74,"03/04/2012, 13:56:12",file_ 2,1,0,0,0,1,0,0,0,0,57
893f65fc02299276ca37ece7fe9cacf496930a74,"03/04/2012, 13:56:12",file_ 4,0,0,0,0,0,1,0,0,0,21
893f65fc02299276ca37ece7fe9cacf496930a74,"03/04/2012, 13:56:12",file_ 1,0,1,0,0,0,0,0,0,0,88
893f65fc02299276ca37ece7fe9cacf496930a74,"03/04/2012, 13:56:12",file_ 3,0,0,0,0,0,0,0,0,0,22
f110ccde4f278b3b2871df6f6e0447b9a467c033,"03/04/2012, 13:59:32",file_ 2,1,0,0,0,1,0,0,0,0,58
f110ccde4f278b3b2871df6f6e0447b9a467c033,"03/04/2012, 13:59:32",file_ 4,0,0,0,0,0,1,0,0,0,22
f110ccde4f278b3b2871df6f6e0447b9a467c033,"03/04/2012, 13:59:32",file_ 1,0,1,0,0,0,0,0,0,0,89
f110ccde4f278b3b2871df6f6e0447b9a467c033,"03/04/2012, 13:59:32",file_ 3,0,0,0,0,0,0,0,0,0,23
f3df0137538d5af16fbdcba1f94830959e487b5b,"03/04/2012, 14:23:59",file_ 2,1,0,0,0,1,0,0,0,0,59
f3df0137538d5af16fbdcba1f94830959e487b5b,"03/04/2012, 14:23:59",file_ 4,0,0,0,0,0,1,0,0,0,23
f3df0137538d5af16fbdcba1f94830959e487b5b,"03/04/2012, 14:23:59",file_ 1,0,1,0,0,0,0,0,0,0,90
f3df0137538d5af16fbdcba1f94830959e487b5b,"03/04/2012, 14:23:59",file_ 3,0,0,0,0,0,0,0,0,0,24
46595ce55e186e116ec0735a4c995987c063d60a,"03/04/2012, 14:28:49",file_ 2,1,0,0,0,1,0,0,0,0,60
46595ce55e186e116ec0735a4c995987c063d60a,"03/04/2012, 14:28:49",file_ 4,0,0,0,0,0,1,0,0,0,24
